Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Segment,State,Sub-Category,Discount,Profit,Quantity,Sales
Furniture,Henderson,United States,CG-12520,Claire Gute,11/8/2020,CA-2020-152156,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,Consumer,Kentucky,Bookcases,0.00%,$42 ,2,$262 
Furniture,Henderson,United States,CG-12520,Claire Gute,11/8/2020,CA-2020-152156,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,Consumer,Kentucky,Chairs,0.00%,$220 ,3,$732 
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,6/12/2020,CA-2020-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,Corporate,California,Labels,0.00%,$7 ,2,$15 
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,10/11/2019,US-2019-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,Consumer,Florida,Tables,45.00%,($383),5,$958 
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,10/11/2019,US-2019-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,Consumer,Florida,Storage,20.00%,$3 ,2,$22 
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,Consumer,California,Furnishings,0.00%,$14 ,7,$49 
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-AR-10002833,Newell 322,West,Consumer,California,Art,0.00%,$2 ,4,$7 
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,Consumer,California,Phones,20.00%,$91 ,6,$907 
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,Consumer,California,Binders,20.00%,$6 ,3,$19 
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,Consumer,California,Appliances,0.00%,$34 ,5,$115 
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,Consumer,California,Tables,20.00%,$85 ,9,"$1,706 "
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,Consumer,California,Phones,20.00%,$68 ,4,$911 
Office Supplies,Concord,United States,AA-10480,Andrew Allen,4/15/2021,CA-2021-114412,28027,OFF-PA-10002365,Xerox 1967,South,Consumer,North Carolina,Paper,20.00%,$5 ,3,$16 
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,12/5/2020,CA-2020-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,Consumer,Washington,Binders,20.00%,$133 ,3,$408 
