City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Ship Date,Ship Mode
Henderson,United States,CG-12520,Claire Gute,11/8/2020,CA-2020-152156,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,11/11/2020,Second Class
Henderson,United States,CG-12520,Claire Gute,11/8/2020,CA-2020-152156,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",11/11/2020,Second Class
Los Angeles,United States,DV-13045,Darrin Van Huff,6/12/2020,CA-2020-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,6/16/2020,Second Class
Fort Lauderdale,United States,SO-20335,Sean O'Donnell,10/11/2019,US-2019-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,10/18/2019,Standard Class
Fort Lauderdale,United States,SO-20335,Sean O'Donnell,10/11/2019,US-2019-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,10/18/2019,Standard Class
Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6/14/2018,Standard Class
Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-AR-10002833,Newell 322,6/14/2018,Standard Class
Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,6/14/2018,Standard Class
Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,6/14/2018,Standard Class
Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,6/14/2018,Standard Class
Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,6/14/2018,Standard Class
Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,6/14/2018,Standard Class
Concord,United States,AA-10480,Andrew Allen,4/15/2021,CA-2021-114412,28027,OFF-PA-10002365,Xerox 1967,4/20/2021,Standard Class
Seattle,United States,IM-15070,Irene Maddox,12/5/2020,CA-2020-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,12/10/2020,Standard Class
Fort Worth,United States,HP-14815,Harold Pawlan,11/22/2019,US-2019-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",11/26/2019,Standard Class
Fort Worth,United States,HP-14815,Harold Pawlan,11/22/2019,US-2019-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,11/26/2019,Standard Class
Madison,United States,PK-19075,Pete Kriz,11/11/2018,CA-2018-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",11/18/2018,Standard Class
West Jordan,United States,AG-10270,Alejandro Grove,5/13/2018,CA-2018-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,5/15/2018,Second Class
